        raio     massa        dens        press        temp        lumin  transp
      0.000      1.000     0.26D-01     0.12D+12     0.35D+05      1.000     2
      0.995      0.999     0.55D-01     0.10D+13     0.14D+06      1.000     2
      0.990      0.996     0.90D-01     0.29D+13     0.24D+06      1.000     2
      0.985      0.991     0.13D+00     0.60D+13     0.34D+06      1.000     2
      0.980      0.984     0.18D+00     0.11D+14     0.45D+06      1.000     2
      0.975      0.976     0.23D+00     0.17D+14     0.55D+06      1.000     2
      0.970      0.964     0.28D+00     0.25D+14     0.65D+06      1.000     2
      0.965      0.950     0.34D+00     0.35D+14     0.76D+06      1.000     2
      0.960      0.934     0.40D+00     0.46D+14     0.86D+06      1.000     2
      0.955      0.915     0.46D+00     0.60D+14     0.97D+06      1.000     2
      0.950      0.892     0.53D+00     0.76D+14     0.11D+07      1.000     2
      0.945      0.867     0.60D+00     0.94D+14     0.12D+07      1.000     2
      0.940      0.839     0.67D+00     0.11D+15     0.13D+07      1.000     2
      0.935      0.808     0.74D+00     0.14D+15     0.14D+07      1.000     2
      0.930      0.774     0.81D+00     0.16D+15     0.15D+07      1.000     2
      0.925      0.738     0.88D+00     0.18D+15     0.15D+07      1.000     2
      0.920      0.698     0.95D+00     0.21D+15     0.16D+07      1.000     2
      0.915      0.656     0.10D+01     0.24D+15     0.17D+07      1.000     2
      0.910      0.611     0.11D+01     0.26D+15     0.18D+07      1.000     2
      0.905      0.564     0.12D+01     0.29D+15     0.19D+07      1.000     2
      0.900      0.514     0.12D+01     0.32D+15     0.19D+07      1.000     2
      0.895      0.462     0.13D+01     0.35D+15     0.20D+07      1.000     2
      0.890      0.409     0.13D+01     0.37D+15     0.21D+07      1.000     2
      0.885      0.353     0.14D+01     0.39D+15     0.21D+07      1.000     2
      0.880      0.297     0.14D+01     0.42D+15     0.22D+07      1.000     2
      0.875      0.239     0.15D+01     0.43D+15     0.22D+07      1.000     2
      0.870      0.180     0.15D+01     0.45D+15     0.22D+07      1.000     2
      0.865      0.121     0.15D+01     0.46D+15     0.23D+07      1.000     2
      0.860      0.061     0.15D+01     0.47D+15     0.23D+07      1.000     2
      0.855      0.002     0.15D+01     0.47D+15     0.23D+07      1.000     2
      0.850     -0.057     0.15D+01     0.47D+15     0.23D+07      1.000     2
      0.845     -0.116     0.16D+01     0.48D+15     0.23D+07      1.000     2
      0.840     -0.174     0.16D+01     0.49D+15     0.23D+07      1.000     2
      0.835     -0.232     0.16D+01     0.50D+15     0.23D+07      1.000     2
      0.830     -0.290     0.16D+01     0.52D+15     0.24D+07      1.000     2
      0.825     -0.349     0.17D+01     0.54D+15     0.24D+07      1.000     2
      0.820     -0.408     0.17D+01     0.57D+15     0.25D+07      1.000     2
      0.815     -0.469     0.18D+01     0.61D+15     0.25D+07      1.000     2
      0.810     -0.531     0.19D+01     0.65D+15     0.26D+07      1.000     2
