    raio       pgas        prad      epspp      epscno    epstot
  0.000D+00  0.124D+12  0.396D+04  0.896D-23  0.127-102  0.896D-23
  0.995D+00  0.101D+13  0.886D+06  0.701D-18  0.904D-81  0.701D-18
  0.990D+00  0.291D+13  0.827D+07  0.370D-15  0.103D-68  0.370D-15
  0.985D+00  0.604D+13  0.347D+08  0.247D-13  0.111D-60  0.247D-13
  0.980D+00  0.106D+14  0.999D+08  0.548D-12  0.862D-55  0.548D-12
  0.975D+00  0.168D+14  0.231D+09  0.615D-11  0.325D-50  0.615D-11
  0.970D+00  0.247D+14  0.462D+09  0.436D-10  0.161D-46  0.436D-10
  0.965D+00  0.346D+14  0.834D+09  0.223D-09  0.188D-43  0.223D-09
  0.960D+00  0.464D+14  0.139D+10  0.890D-09  0.738D-41  0.890D-09
  0.955D+00  0.602D+14  0.219D+10  0.294D-08  0.125D-38  0.294D-08
  0.950D+00  0.761D+14  0.327D+10  0.831D-08  0.109D-36  0.831D-08
  0.945D+00  0.941D+14  0.468D+10  0.207D-07  0.547D-35  0.207D-07
  0.940D+00  0.114D+15  0.647D+10  0.465D-07  0.173D-33  0.465D-07
  0.935D+00  0.136D+15  0.868D+10  0.955D-07  0.372D-32  0.955D-07
  0.930D+00  0.159D+15  0.113D+11  0.181D-06  0.571D-31  0.181D-06
  0.925D+00  0.184D+15  0.144D+11  0.322D-06  0.652D-30  0.322D-06
  0.920D+00  0.210D+15  0.180D+11  0.537D-06  0.573D-29  0.537D-06
  0.915D+00  0.237D+15  0.220D+11  0.848D-06  0.398D-28  0.848D-06
  0.910D+00  0.264D+15  0.263D+11  0.127D-05  0.223D-27  0.127D-05
  0.905D+00  0.292D+15  0.310D+11  0.183D-05  0.103D-26  0.183D-05
  0.900D+00  0.319D+15  0.359D+11  0.252D-05  0.395D-26  0.252D-05
  0.895D+00  0.345D+15  0.409D+11  0.333D-05  0.128D-25  0.333D-05
  0.890D+00  0.371D+15  0.459D+11  0.423D-05  0.353D-25  0.423D-05
