    raio      kapbf      kapff      sigmae      kaptot
  0.000D+00  0.270D+05  0.354D+04  0.340D+00  0.165D+07
  0.995D+00  0.627D+04  0.824D+03  0.340D+00  0.305D+05
  0.990D+00  0.260D+04  0.341D+03  0.340D+00  0.710D+04
  0.985D+00  0.139D+04  0.182D+03  0.340D+00  0.294D+04
  0.980D+00  0.856D+03  0.112D+03  0.340D+00  0.157D+04
  0.975D+00  0.578D+03  0.759D+02  0.340D+00  0.968D+03
  0.970D+00  0.416D+03  0.546D+02  0.340D+00  0.654D+03
  0.965D+00  0.313D+03  0.412D+02  0.340D+00  0.471D+03
  0.960D+00  0.245D+03  0.322D+02  0.340D+00  0.355D+03
  0.955D+00  0.197D+03  0.259D+02  0.340D+00  0.277D+03
  0.950D+00  0.162D+03  0.213D+02  0.340D+00  0.223D+03
  0.945D+00  0.137D+03  0.179D+02  0.340D+00  0.184D+03
  0.940D+00  0.117D+03  0.154D+02  0.340D+00  0.155D+03
  0.935D+00  0.101D+03  0.133D+02  0.340D+00  0.133D+03
  0.930D+00  0.893D+02  0.117D+02  0.340D+00  0.115D+03
  0.925D+00  0.796D+02  0.105D+02  0.340D+00  0.101D+03
  0.920D+00  0.717D+02  0.942D+01  0.340D+00  0.904D+02
  0.915D+00  0.653D+02  0.858D+01  0.340D+00  0.815D+02
  0.910D+00  0.600D+02  0.788D+01  0.340D+00  0.742D+02
  0.905D+00  0.556D+02  0.731D+01  0.340D+00  0.682D+02
  0.900D+00  0.520D+02  0.683D+01  0.340D+00  0.633D+02
  0.895D+00  0.490D+02  0.644D+01  0.340D+00  0.592D+02
  0.890D+00  0.466D+02  0.612D+01  0.340D+00  0.558D+02
  0.885D+00  0.446D+02  0.586D+01  0.340D+00  0.530D+02
  0.880D+00  0.430D+02  0.565D+01  0.340D+00  0.508D+02
  0.875D+00  0.418D+02  0.549D+01  0.340D+00  0.490D+02
  0.870D+00  0.409D+02  0.537D+01  0.340D+00  0.476D+02
  0.865D+00  0.403D+02  0.529D+01  0.340D+00  0.466D+02
  0.860D+00  0.400D+02  0.525D+01  0.340D+00  0.459D+02
  0.855D+00  0.400D+02  0.525D+01  0.340D+00  0.456D+02
  0.850D+00  0.397D+02  0.521D+01  0.340D+00  0.456D+02
  0.845D+00  0.391D+02  0.514D+01  0.340D+00  0.452D+02
  0.840D+00  0.383D+02  0.503D+01  0.340D+00  0.446D+02
  0.835D+00  0.372D+02  0.489D+01  0.340D+00  0.437D+02
  0.830D+00  0.359D+02  0.471D+01  0.340D+00  0.424D+02
  0.825D+00  0.343D+02  0.451D+01  0.340D+00  0.409D+02
  0.820D+00  0.326D+02  0.429D+01  0.340D+00  0.392D+02
  0.815D+00  0.308D+02  0.405D+01  0.340D+00  0.373D+02
  0.810D+00  0.289D+02  0.380D+01  0.340D+00  0.352D+02
  0.805D+00  0.269D+02  0.354D+01  0.340D+00  0.330D+02
  0.800D+00  0.249D+02  0.328D+01  0.340D+00  0.308D+02
  0.795D+00  0.230D+02  0.302D+01  0.340D+00  0.286D+02
  0.790D+00  0.210D+02  0.276D+01  0.340D+00  0.263D+02
  0.785D+00  0.191D+02  0.251D+01  0.340D+00  0.241D+02
  0.780D+00  0.173D+02  0.228D+01  0.340D+00  0.220D+02
  0.775D+00  0.156D+02  0.205D+01  0.340D+00  0.199D+02
  0.770D+00  0.140D+02  0.184D+01  0.340D+00  0.180D+02
  0.765D+00  0.125D+02  0.164D+01  0.340D+00  0.162D+02
  0.760D+00  0.111D+02  0.146D+01  0.340D+00  0.145D+02
  0.755D+00  0.984D+01  0.129D+01  0.340D+00  0.129D+02
  0.750D+00  0.868D+01  0.114D+01  0.340D+00  0.115D+02
  0.745D+00  0.762D+01  0.100D+01  0.340D+00  0.102D+02
  0.740D+00  0.667D+01  0.877D+00  0.340D+00  0.896D+01
  0.735D+00  0.582D+01  0.765D+00  0.340D+00  0.789D+01
  0.730D+00  0.507D+01  0.665D+00  0.340D+00  0.693D+01
  0.725D+00  0.439D+01  0.577D+00  0.340D+00  0.607D+01
  0.720D+00  0.380D+01  0.499D+00  0.340D+00  0.531D+01
  0.715D+00  0.327D+01  0.430D+00  0.340D+00  0.463D+01
  0.710D+00  0.281D+01  0.369D+00  0.340D+00  0.404D+01
  0.705D+00  0.241D+01  0.316D+00  0.340D+00  0.352D+01
  0.700D+00  0.206D+01  0.270D+00  0.340D+00  0.306D+01
  0.695D+00  0.175D+01  0.230D+00  0.340D+00  0.267D+01
  0.690D+00  0.149D+01  0.195D+00  0.340D+00  0.232D+01
  0.685D+00  0.126D+01  0.166D+00  0.340D+00  0.202D+01
  0.680D+00  0.106D+01  0.140D+00  0.340D+00  0.177D+01
  0.675D+00  0.897D+00  0.118D+00  0.340D+00  0.154D+01
  0.670D+00  0.753D+00  0.990D-01  0.340D+00  0.135D+01
  0.665D+00  0.631D+00  0.829D-01  0.340D+00  0.119D+01
  0.660D+00  0.527D+00  0.693D-01  0.340D+00  0.105D+01
  0.655D+00  0.439D+00  0.577D-01  0.340D+00  0.936D+00
  0.650D+00  0.365D+00  0.479D-01  0.340D+00  0.837D+00
  0.645D+00  0.302D+00  0.397D-01  0.340D+00  0.753D+00
  0.640D+00  0.281D+00  0.369D-01  0.340D+00  0.682D+00
  0.635D+00  0.301D+00  0.395D-01  0.340D+00  0.658D+00
  0.630D+00  0.242D+00  0.318D-01  0.340D+00  0.680D+00
  0.625D+00  0.194D+00  0.255D-01  0.340D+00  0.614D+00
  0.620D+00  0.155D+00  0.204D-01  0.340D+00  0.560D+00
  0.615D+00  0.124D+00  0.163D-01  0.340D+00  0.516D+00
  0.610D+00  0.984D-01  0.129D-01  0.340D+00  0.480D+00
  0.605D+00  0.779D-01  0.102D-01  0.340D+00  0.451D+00
  0.600D+00  0.615D-01  0.807D-02  0.340D+00  0.428D+00
  0.595D+00  0.483D-01  0.635D-02  0.340D+00  0.410D+00
  0.590D+00  0.378D-01  0.497D-02  0.340D+00  0.395D+00
  0.585D+00  0.296D-01  0.388D-02  0.340D+00  0.383D+00
  0.580D+00  0.230D-01  0.302D-02  0.340D+00  0.373D+00
  0.575D+00  0.179D-01  0.235D-02  0.340D+00  0.366D+00
  0.570D+00  0.138D-01  0.182D-02  0.340D+00  0.360D+00
  0.565D+00  0.107D-01  0.140D-02  0.340D+00  0.356D+00
  0.560D+00  0.823D-02  0.108D-02  0.340D+00  0.352D+00
  0.555D+00  0.634D-02  0.833D-03  0.340D+00  0.349D+00
  0.550D+00  0.488D-02  0.641D-03  0.340D+00  0.347D+00
  0.545D+00  0.376D-02  0.494D-03  0.340D+00  0.346D+00
  0.540D+00  0.290D-02  0.381D-03  0.340D+00  0.344D+00
  0.535D+00  0.224D-02  0.295D-03  0.340D+00  0.343D+00
  0.530D+00  0.174D-02  0.229D-03  0.340D+00  0.343D+00
  0.525D+00  0.136D-02  0.178D-03  0.340D+00  0.342D+00
  0.520D+00  0.106D-02  0.139D-03  0.340D+00  0.342D+00
  0.515D+00  0.828D-03  0.109D-03  0.340D+00  0.341D+00
  0.510D+00  0.647D-03  0.850D-04  0.340D+00  0.341D+00
  0.505D+00  0.502D-03  0.660D-04  0.340D+00  0.341D+00
  0.500D+00  0.384D-03  0.505D-04  0.340D+00  0.341D+00
  0.495D+00  0.285D-03  0.375D-04  0.340D+00  0.340D+00
  0.490D+00  0.201D-03  0.264D-04  0.340D+00  0.340D+00
  0.485D+00  0.130D-03  0.171D-04  0.340D+00  0.340D+00
  0.480D+00  0.733D-04  0.962D-05  0.340D+00  0.340D+00
  0.475D+00  0.331D-04  0.434D-05  0.340D+00  0.340D+00
  0.470D+00  0.106D-04  0.139D-05  0.340D+00  0.340D+00
  0.465D+00  0.202D-05  0.266D-06  0.340D+00  0.340D+00
  0.460D+00  0.175D-06  0.230D-07  0.340D+00  0.340D+00
  0.455D+00  0.459D-08  0.604D-09  0.340D+00  0.340D+00
  0.450D+00  0.218D-10  0.287D-11  0.340D+00  0.340D+00
  0.445D+00  0.963D-14  0.126D-14  0.340D+00  0.340D+00
  0.440D+00  0.137D-18  0.181D-19  0.340D+00  0.340D+00
  0.435D+00  0.135D-25  0.178D-26  0.340D+00  0.340D+00
  0.430D+00  0.114D-35  0.150D-36  0.340D+00  0.340D+00
  0.425D+00  0.332D-50  0.437D-51  0.340D+00  0.340D+00
  0.420D+00  0.318D-71  0.418D-72  0.340D+00  0.340D+00
  0.415D+00  0.192-101  0.252-102  0.340D+00  0.340D+00
  0.410D+00        NaN        NaN  0.340D+00  0.340D+00
  0.405D+00        NaN        NaN  0.340D+00        NaN
  0.400D+00        NaN        NaN  0.340D+00        NaN
  0.395D+00        NaN        NaN  0.340D+00        NaN
  0.390D+00        NaN        NaN  0.340D+00        NaN
  0.385D+00        NaN        NaN  0.340D+00        NaN
  0.380D+00        NaN        NaN  0.340D+00        NaN
  0.375D+00        NaN        NaN  0.340D+00        NaN
  0.370D+00        NaN        NaN  0.340D+00        NaN
  0.365D+00        NaN        NaN  0.340D+00        NaN
  0.360D+00        NaN        NaN  0.340D+00        NaN
  0.355D+00        NaN        NaN  0.340D+00        NaN
  0.350D+00        NaN        NaN  0.340D+00        NaN
  0.345D+00        NaN        NaN  0.340D+00        NaN
  0.340D+00        NaN        NaN  0.340D+00        NaN
  0.335D+00        NaN        NaN  0.340D+00        NaN
  0.330D+00        NaN        NaN  0.340D+00        NaN
  0.325D+00        NaN        NaN  0.340D+00        NaN
  0.320D+00        NaN        NaN  0.340D+00        NaN
  0.315D+00        NaN        NaN  0.340D+00        NaN
  0.310D+00        NaN        NaN  0.340D+00        NaN
  0.305D+00        NaN        NaN  0.340D+00        NaN
  0.300D+00        NaN        NaN  0.340D+00        NaN
  0.295D+00        NaN        NaN  0.340D+00        NaN
  0.290D+00        NaN        NaN  0.340D+00        NaN
  0.285D+00        NaN        NaN  0.340D+00        NaN
  0.280D+00        NaN        NaN  0.340D+00        NaN
  0.275D+00        NaN        NaN  0.340D+00        NaN
  0.270D+00        NaN        NaN  0.340D+00        NaN
  0.265D+00        NaN        NaN  0.340D+00        NaN
  0.260D+00        NaN        NaN  0.340D+00        NaN
  0.255D+00        NaN        NaN  0.340D+00        NaN
  0.250D+00        NaN        NaN  0.340D+00        NaN
  0.245D+00        NaN        NaN  0.340D+00        NaN
  0.240D+00        NaN        NaN  0.340D+00        NaN
  0.235D+00        NaN        NaN  0.340D+00        NaN
  0.230D+00        NaN        NaN  0.340D+00        NaN
  0.225D+00        NaN        NaN  0.340D+00        NaN
  0.220D+00        NaN        NaN  0.340D+00        NaN
  0.215D+00        NaN        NaN  0.340D+00        NaN
  0.210D+00        NaN        NaN  0.340D+00        NaN
  0.205D+00        NaN        NaN  0.340D+00        NaN
  0.200D+00        NaN        NaN  0.340D+00        NaN
  0.195D+00        NaN        NaN  0.340D+00        NaN
  0.190D+00        NaN        NaN  0.340D+00        NaN
  0.185D+00        NaN        NaN  0.340D+00        NaN
  0.180D+00        NaN        NaN  0.340D+00        NaN
  0.175D+00        NaN        NaN  0.340D+00        NaN
  0.170D+00        NaN        NaN  0.340D+00        NaN
  0.165D+00        NaN        NaN  0.340D+00        NaN
