  M        R       P        T       L    pr_sup
1.478e1  3.1610 2.208e-4 4.817e0 2.082e4 0.0327
1.473e1  3.0912 2.926e-4 5.155e0 2.082e4 0.0405
1.466e1  3.0189 3.889e-4 5.515e0 2.082e4 0.0503
1.459e1  2.9453 5.161e-4 5.895e0 2.082e4 0.0626
1.449e1  2.8696 6.867e-4 6.302e0 2.082e4 0.0780
1.438e1  2.7929 9.119e-4 6.734e0 2.082e4 0.0971
1.425e1  2.7142 1.213e-3 7.200e0 2.082e4 0.1208
1.409e1  2.6348 1.611e-3 7.695e0 2.082e4 0.1503
1.390e1  2.5537 2.140e-3 8.229e0 2.082e4 0.1868
1.368e1  2.4721 2.835e-3 8.799e0 2.082e4 0.2317
1.341e1  2.3891 3.755e-3 9.413e0 2.082e4 0.2868
1.311e1  2.3056 4.955e-3 1.007e1 2.082e4 0.3541
1.275e1  2.2208 6.532e-3 1.077e1 2.082e4 0.4358
1.234e1  2.1357 8.571e-3 1.153e1 2.082e4 0.5345
1.189e1  2.0512 1.116e-2 1.232e1 2.082e4 0.6496
1.099e1  1.9074 1.721e-2 1.379e1 2.083e4 0.9079
9.884e0  1.7573 2.643e-2 1.549e1 2.083e4 1.2339
8.699e0  1.6148 3.872e-2 1.726e1 2.083e4 1.6104
7.466e0  1.4778 5.441e-2 1.912e1 2.082e4 2.0269
6.283e0  1.3506 7.268e-2 2.098e1 2.074e4 2.4462
5.780e0  1.2965 8.115e-2 2.182e1 2.068e4 2.5920
5.350e0  1.2498 8.972e-2 2.254e1 2.067e4 2.7885
4.127e0  1.1120 1.164e-1 2.461e1 2.059e4 3.3345
2.158e0  0.8533 1.747e-1 2.818e1 1.940e4 4.3044
1.155e0  0.6743 2.174e-1 3.028e1 1.631e4 4.8631
6.837e-1 0.5582 2.437e-1 3.143e1 1.280e4 5.2285
3.812e-1 0.4545 2.651e-1 3.230e1 8.956e3 5.5009
2.468e-1 0.3910 2.768e-1 3.276e1 6.559e3 5.6494
1.530e-1 0.3320 2.864e-1 3.312e1 4.504e3 5.7721
9.399e-2 0.2813 2.937e-1 3.339e1 2.988e3 5.8615
5.824e-2 0.2392 2.989e-1 3.358e1 1.960e3 5.9266
2.214e-2 0.1727 3.056e-1 3.382e1 8.094e2 6.0084
1.449e-2 0.1498 3.074e-1 3.389e1 5.460e2 6.0301
0.000000 0.0000 3.130e-1 3.408e1 0.00000 6.0994
